Compound,Date,Negative,Neutral,Positive,Tweets Ago,Username
0.0,Fri Apr 13 19:30:05 +0000 2018,0.0,1.0,0.0,1,@BBC
0.0,Fri Apr 13 18:00:23 +0000 2018,0.0,1.0,0.0,2,@BBC
0.0,Fri Apr 13 17:43:00 +0000 2018,0.0,1.0,0.0,3,@BBC
0.0,Fri Apr 13 17:13:05 +0000 2018,0.0,1.0,0.0,4,@BBC
0.0,Fri Apr 13 17:00:22 +0000 2018,0.0,1.0,0.0,5,@BBC
0.0,Fri Apr 13 16:01:04 +0000 2018,0.0,1.0,0.0,6,@BBC
0.0,Fri Apr 13 15:55:21 +0000 2018,0.0,1.0,0.0,7,@BBC
0.0,Fri Apr 13 15:54:58 +0000 2018,0.0,1.0,0.0,8,@BBC
0.4106,Fri Apr 13 15:31:14 +0000 2018,0.0,0.789,0.211,9,@BBC
0.0,Fri Apr 13 15:09:02 +0000 2018,0.0,1.0,0.0,10,@BBC
0.0,Fri Apr 13 14:57:24 +0000 2018,0.0,1.0,0.0,11,@BBC
0.0,Fri Apr 13 14:16:08 +0000 2018,0.0,1.0,0.0,12,@BBC
0.5719,Fri Apr 13 14:02:06 +0000 2018,0.0,0.802,0.198,13,@BBC
0.5719,Fri Apr 13 13:01:05 +0000 2018,0.0,0.856,0.144,14,@BBC
0.0,Fri Apr 13 12:00:11 +0000 2018,0.0,1.0,0.0,15,@BBC
-0.5859,Fri Apr 13 11:03:03 +0000 2018,0.202,0.798,0.0,16,@BBC
0.0,Fri Apr 13 10:05:30 +0000 2018,0.0,1.0,0.0,17,@BBC
0.0,Fri Apr 13 09:30:13 +0000 2018,0.0,1.0,0.0,18,@BBC
0.0,Fri Apr 13 09:21:50 +0000 2018,0.0,1.0,0.0,19,@BBC
0.0,Fri Apr 13 08:02:01 +0000 2018,0.0,1.0,0.0,20,@BBC
0.0,Fri Apr 13 19:30:05 +0000 2018,0.0,1.0,0.0,21,@BBC
0.0,Fri Apr 13 18:00:23 +0000 2018,0.0,1.0,0.0,22,@BBC
0.0,Fri Apr 13 17:43:00 +0000 2018,0.0,1.0,0.0,23,@BBC
0.0,Fri Apr 13 17:13:05 +0000 2018,0.0,1.0,0.0,24,@BBC
0.0,Fri Apr 13 17:00:22 +0000 2018,0.0,1.0,0.0,25,@BBC
0.0,Fri Apr 13 16:01:04 +0000 2018,0.0,1.0,0.0,26,@BBC
0.0,Fri Apr 13 15:55:21 +0000 2018,0.0,1.0,0.0,27,@BBC
0.0,Fri Apr 13 15:54:58 +0000 2018,0.0,1.0,0.0,28,@BBC
0.4106,Fri Apr 13 15:31:14 +0000 2018,0.0,0.789,0.211,29,@BBC
0.0,Fri Apr 13 15:09:02 +0000 2018,0.0,1.0,0.0,30,@BBC
0.0,Fri Apr 13 14:57:24 +0000 2018,0.0,1.0,0.0,31,@BBC
0.0,Fri Apr 13 14:16:08 +0000 2018,0.0,1.0,0.0,32,@BBC
0.5719,Fri Apr 13 14:02:06 +0000 2018,0.0,0.802,0.198,33,@BBC
0.5719,Fri Apr 13 13:01:05 +0000 2018,0.0,0.856,0.144,34,@BBC
0.0,Fri Apr 13 12:00:11 +0000 2018,0.0,1.0,0.0,35,@BBC
-0.5859,Fri Apr 13 11:03:03 +0000 2018,0.202,0.798,0.0,36,@BBC
0.0,Fri Apr 13 10:05:30 +0000 2018,0.0,1.0,0.0,37,@BBC
0.0,Fri Apr 13 09:30:13 +0000 2018,0.0,1.0,0.0,38,@BBC
0.0,Fri Apr 13 09:21:50 +0000 2018,0.0,1.0,0.0,39,@BBC
0.0,Fri Apr 13 08:02:01 +0000 2018,0.0,1.0,0.0,40,@BBC
0.0,Fri Apr 13 07:30:08 +0000 2018,0.0,1.0,0.0,41,@BBC
0.6705,Fri Apr 13 07:03:03 +0000 2018,0.085,0.648,0.267,42,@BBC
0.5994,Thu Apr 12 20:58:00 +0000 2018,0.0,0.642,0.358,43,@BBC
0.3818,Thu Apr 12 20:11:00 +0000 2018,0.0,0.822,0.178,44,@BBC
0.7184,Thu Apr 12 19:01:05 +0000 2018,0.0,0.739,0.261,45,@BBC
0.4404,Thu Apr 12 18:03:09 +0000 2018,0.0,0.861,0.139,46,@BBC
-0.4215,Thu Apr 12 17:02:01 +0000 2018,0.189,0.811,0.0,47,@BBC
0.0,Thu Apr 12 15:01:07 +0000 2018,0.0,1.0,0.0,48,@BBC
0.4588,Thu Apr 12 14:08:44 +0000 2018,0.0,0.812,0.188,49,@BBC
0.7351,Thu Apr 12 14:08:32 +0000 2018,0.0,0.744,0.256,50,@BBC
0.4404,Thu Apr 12 13:58:17 +0000 2018,0.0,0.896,0.104,51,@BBC
-0.1779,Thu Apr 12 13:00:12 +0000 2018,0.091,0.909,0.0,52,@BBC
0.0,Thu Apr 12 12:36:07 +0000 2018,0.0,1.0,0.0,53,@BBC
0.0,Thu Apr 12 12:00:29 +0000 2018,0.0,1.0,0.0,54,@BBC
0.5994,Thu Apr 12 11:41:53 +0000 2018,0.0,0.794,0.206,55,@BBC
0.0,Thu Apr 12 11:09:09 +0000 2018,0.0,1.0,0.0,56,@BBC
0.1139,Thu Apr 12 11:04:21 +0000 2018,0.0,0.936,0.064,57,@BBC
0.0,Thu Apr 12 11:01:04 +0000 2018,0.0,1.0,0.0,58,@BBC
0.0,Thu Apr 12 10:00:33 +0000 2018,0.0,1.0,0.0,59,@BBC
0.4824,Thu Apr 12 09:11:47 +0000 2018,0.0,0.742,0.258,60,@BBC
-0.836,Thu Apr 12 08:00:19 +0000 2018,0.389,0.611,0.0,61,@BBC
0.0,Thu Apr 12 07:27:07 +0000 2018,0.0,1.0,0.0,62,@BBC
0.34,Thu Apr 12 07:01:07 +0000 2018,0.0,0.821,0.179,63,@BBC
0.2732,Wed Apr 11 19:03:05 +0000 2018,0.0,0.89,0.11,64,@BBC
0.1531,Wed Apr 11 18:00:22 +0000 2018,0.0,0.814,0.186,65,@BBC
0.0,Wed Apr 11 16:24:06 +0000 2018,0.0,1.0,0.0,66,@BBC
0.4939,Wed Apr 11 16:00:22 +0000 2018,0.146,0.538,0.315,67,@BBC
0.0,Wed Apr 11 14:01:05 +0000 2018,0.0,1.0,0.0,68,@BBC
0.0,Wed Apr 11 13:04:48 +0000 2018,0.0,1.0,0.0,69,@BBC
0.0,Wed Apr 11 12:42:05 +0000 2018,0.0,1.0,0.0,70,@BBC
-0.4803,Wed Apr 11 12:21:33 +0000 2018,0.221,0.779,0.0,71,@BBC
