Country,City, Latitude , Longitude 
ad,andorra la vella, 42.5000 , 1.5167 
ad,canillo, 42.5667 , 1.6000 
ad,encamp, 42.5333 , 1.5833 
ad,la massana, 42.5500 , 1.5167 
ad,les escaldes, 42.5000 , 1.5333 
ad,ordino, 42.5500 , 1.5333 
ad,sant julia de loria, 42.4667 , 1.5000 
ae,abu dhabi, 24.4667 , 54.3667 
ae,dubai, 25.2582 , 55.3047 
ae,sharjah, 25.3573 , 55.4033 
af,acin, 34.0825 , 70.6682 
af,anar darreh, 32.7587 , 61.6540 
af,andarab, 35.6335 , 69.2602 
af,asadabad, 34.8731 , 71.1470 
af,asmar, 35.0333 , 71.3581 
af,aybak, 36.2647 , 68.0155 
af,azrow, 34.1736 , 69.6457 
af,baglan, 36.1307 , 68.7083 
af,bagrami, 34.4938 , 69.2743 
af,baraki barak, 33.9675 , 68.9486 
af,cah ab, 37.3977 , 69.8146 
af,carikar, 35.0166 , 69.1740 
af,ciras, 35.4167 , 65.9823 
af,dawlatabad, 36.4326 , 64.9207 
af,dawlatabad, 36.9878 , 66.8207 
af,deh rawud, 32.6241 , 65.4597 
af,eskasem, 36.7069 , 71.5707 
af,farah, 32.3745 , 62.1164 
af,gardan diwal, 34.5090 , 68.2607 
af,gardez, 33.5974 , 69.2259 
af,gazni, 33.5508 , 68.4225 
af,geresk, 31.8209 , 64.5700 
af,herat, 34.3482 , 62.1997 
af,jalalabad, 34.4265 , 70.4515 
af,jurm, 36.8648 , 70.8342 
af,kabul, 34.5167 , 69.1833 
af,kholm, 36.6974 , 67.6983 
af,khowst, 33.3395 , 69.9204 
af,kuhestan, 34.6539 , 61.1978 
af,kusk, 33.2957 , 61.9522 
af,lar gerd, 35.4894 , 66.6641 
af,mehtar lam, 34.6714 , 70.2094 
af,mirabad, 30.4362 , 61.8383 
af,nahrin, 36.0649 , 69.1334 
af,nuristan, 34.9500 , 70.4000 
af,orgun, 32.9011 , 69.1528 
af,pagman, 34.5875 , 68.9533 
af,panjab, 34.3879 , 67.0233 
af,qandahar, 31.6133 , 65.7101 
af,qarchi gak, 37.0400 , 66.7889 
af,qarqin, 37.4045 , 66.0744 
af,qunduz, 36.7290 , 68.8570 
af,rostaq, 37.1260 , 69.8305 
af,rudbar, 30.1500 , 62.6000 
af,sahrak, 34.1074 , 64.3052 
af,sangin, 32.0728 , 64.8359 
af,sar-e pul, 36.2154 , 65.9325 
af,sharan, 33.1467 , 68.7917 
af,shibarghan, 36.6676 , 65.7529 
af,sindand, 33.3029 , 62.1474 
af,tagab, 34.8550 , 69.6492 
af,taloqan, 36.7341 , 69.5336 
af,taywarah, 33.5212 , 64.4212 
af,tir pol, 34.5943 , 61.2690 
af,tokzar, 35.9483 , 66.4213 
af,uruzgan, 32.9278 , 66.6325 
af,zaranj, 30.9667 , 61.8833 
ag,all saints, 17.0500 , (61.8000)
ag,carlisle, 17.1333 , (61.8000)
ag,codrington, 17.6333 , (61.8333)
ag,freetown, 17.0500 , (61.7000)
ag,liberta, 17.0333 , (61.7833)
ag,old road, 17.0167 , (61.8333)
ag,parham, 17.0833 , (61.7667)
ag,swetes, 17.0500 , (61.8000)
ai,the valley, 18.2167 , (63.0500)
al,bajram curri, 42.3572 , 20.0731 
al,ballsh, 40.5989 , 19.7347 
al,berat, 40.7058 , 19.9522 
al,bilisht, 40.6275 , 20.9900 
al,bulqize, 41.4917 , 20.2219 
al,burrel, 41.6103 , 20.0089 
al,cerrik, 41.0317 , 19.9758 
al,corovode, 40.5042 , 20.2272 
al,delvine, 39.9511 , 20.0978 
al,durres, 41.3231 , 19.4414 
al,elbasan, 41.1125 , 20.0822 
al,erseke, 40.3378 , 20.6789 
al,fier, 40.7239 , 19.5561 
al,fierze, 42.2647 , 20.0269 
al,fierze, 42.2606 , 20.0169 
al,fushe-arrez, 42.0622 , 20.0167 
al,fushe-kruje, 41.4783 , 19.7178 
al,gjirokaster, 40.0758 , 20.1389 
al,gramsh, 40.8697 , 20.1844 
al,himare, 40.1017 , 19.7447 
al,kamze, 41.3817 , 19.7603 
al,kavaje, 41.1856 , 19.5569 
al,kelcyre, 40.3131 , 20.1894 
al,kerrabe, 41.2156 , 19.9714 
al,klos, 41.4844 , 20.1081 
al,konispol, 39.6589 , 20.1814 
al,koplik, 42.2136 , 19.4364 
al,korce, 40.6186 , 20.7808 
al,kraste, 41.4225 , 20.2050 
al,kruje, 41.5092 , 19.7928 
al,kucove, 40.8003 , 19.9167 
al,kukes, 42.0769 , 20.4219 
al,kurbnesh, 41.7797 , 20.0836 
al,lac, 41.6356 , 19.7131 
al,leskovik, 40.1514 , 20.5972 
al,lezhe, 41.7836 , 19.6436 
al,libohove, 40.0311 , 20.2631 
al,librazhd, 41.1794 , 20.3150 
al,lushnje, 40.9419 , 19.7050 
al,maliq, 40.7058 , 20.6997 
al,mamurras, 41.5775 , 19.6922 
al,memaliaj, 40.3458 , 19.9792 
al,milot, 41.6803 , 19.7244 
al,orikum, 40.3253 , 19.4714 
al,patos, 40.6833 , 19.6194 
al,peqin, 41.0461 , 19.7511 
al,permet, 40.2336 , 20.3517 
al,perrenjas, 41.0731 , 20.5489 
al,peshkopi, 41.6850 , 20.4289 
al,pogradec, 40.9025 , 20.6525 
al,polican, 40.6122 , 20.0981 
al,puke, 42.0444 , 19.8997 
al,roskovec, 40.7375 , 19.7022 
al,rreshen, 41.7675 , 19.8756 
al,rrogozhine, 41.0764 , 19.6653 
al,rubik, 41.7744 , 19.7861 
al,sarande, 39.8756 , 20.0053 
al,selenice, 40.5306 , 19.6358 
al,shengjin, 41.8136 , 19.5939 
al,shijak, 41.3456 , 19.5672 
al,shkoder, 42.0675 , 19.5131 
al,tepelene, 40.2958 , 20.0192 
al,tirana, 41.3275 , 19.8189 
al,ulze, 41.6828 , 19.8933 
al,vlore, 40.4667 , 19.4897 
al,vore, 41.3908 , 19.6550 
am,abovyan, 40.0489 , 44.5475 
am,abovyan, 40.2692 , 44.6244 
am,agarakadzor, 39.7364 , 45.3456 
am,agarak, 40.3078 , 44.2847 
am,agarak, 41.0106 , 44.4675 
am,agarak, 39.2039 , 46.5472 
am,aghavnadzor, 40.5842 , 44.6914 
am,aghavnadzor, 39.7836 , 45.2281 
am,aghavnatun, 40.2336 , 44.2514 
am,akhuryan, 40.7814 , 43.8964 
am,aknalich, 40.1431 , 44.1483 
am,aknashen, 40.0958 , 44.2861 
am,alaverdi, 41.1306 , 44.6519 
am,amasia, 40.9467 , 43.7814 
am,amberd, 40.2417 , 44.2728 
am,anushavan, 40.6419 , 43.9822 
am,apaga, 40.0961 , 44.2511 
am,aparan, 40.5961 , 44.3536 
am,aragats, 40.3331 , 43.6581 
am,aragats, 40.2183 , 44.2328 
am,aragyukh, 40.4025 , 44.5436 
am,aramus, 40.2511 , 44.6631 
am,arapi, 40.7797 , 43.8006 
am,ararat, 39.8094 , 44.7144 
am,arazap, 40.0428 , 44.1458 
am,archis, 41.1642 , 44.8725 
am,areni, 39.7208 , 45.1839 
am,arevabuyr, 40.0361 , 44.4689 
am,arevashat, 40.1417 , 44.3708 
am,arevashogh, 40.8614 , 44.2728 
am,arevik, 40.1006 , 44.0969 
am,arevik, 40.7361 , 43.8928 
am,arevshat, 40.0392 , 44.5417 
am,arevshat, 40.6486 , 44.0444 
am,argavand, 40.1581 , 44.4400 
am,argavand, 40.0608 , 44.0953 
am,argel, 40.3794 , 44.5994 
am,armash, 39.7667 , 44.8083 
am,armavir, 40.0897 , 44.0483 
am,arshaluys, 40.1689 , 44.2142 
am,artashat, 39.9539 , 44.5506 
am,arteni, 40.2983 , 43.7542 
am,artimet, 40.1514 , 44.2664 
am,artsvaberd, 40.8336 , 45.4711 
am,artsvanist, 40.1544 , 45.5022 
am,arzakan, 40.4494 , 44.6064 
am,arzni, 40.2964 , 44.5958 
am,ashnak, 40.3275 , 43.9167 
am,ashtarak, 40.3017 , 44.3592 
am,astghadzor, 40.1239 , 45.3567 
am,avshar, 39.8406 , 44.6836 
am,aygavan, 39.8647 , 44.6703 
am,aygedzor, 39.4628 , 46.4153 
am,aygehovit, 40.9744 , 45.2519 
am,aygek, 40.1886 , 44.3833 
am,aygepat, 39.9500 , 44.6000 
am,aygeshat, 40.2356 , 44.2867 
am,aygeshat, 40.0667 , 44.0667 
am,aygestan, 40.0031 , 44.5575 
am,aygezard, 39.9458 , 44.6089 
am,aygut, 40.6842 , 45.1731 
am,ayrum, 41.1950 , 44.8925 
am,ayrum, 41.1717 , 44.8192 
am,azatamut, 40.9758 , 45.1981 
am,azatan, 40.7239 , 43.8206 
am,azatavan, 39.9833 , 44.5000 
am,azatavan, 40.1333 , 44.0667 
am,baghramyan, 40.1908 , 43.8494 
am,bagratashen, 41.2458 , 44.8211 
am,balahovit, 40.2536 , 44.6039 
am,bambakashat, 40.1144 , 44.0122 
am,bardzrashen, 40.0853 , 44.5786 
am,bazum, 40.8681 , 44.4456 
am,berdavan, 41.2028 , 45.0033 
am,berd, 40.8808 , 45.3917 
am,brnakot, 39.4969 , 45.9731 
am,brun, 39.5339 , 46.3031 
am,buzhakan, 40.4553 , 44.5206 
am,byurakan, 40.3414 , 44.2736 
am,byuravan, 40.0161 , 44.5186 
am,byureghavan, 40.3147 , 44.5936 
am,chambarak, 40.5953 , 45.3475 
am,chochkan, 41.1861 , 44.8314 
am,dalar, 39.9669 , 44.5364 
am,dalarik, 40.2183 , 43.8603 
am,darakert, 40.1058 , 44.4139 
am,darpas, 40.8381 , 44.4233 
am,dashtavan, 40.1017 , 44.3906 
am,ddmashen, 40.5719 , 44.8122 
am,dilijan, 40.7408 , 44.8631 
am,dimitrov, 40.0081 , 44.4881 
am,doghs, 40.2228 , 44.2717 
am,drakhtik, 40.5689 , 45.2319 
am,dsegh, 40.9633 , 44.6517 
am,dvin, 40.0200 , 44.5853 
am,dzitankov, 40.5156 , 43.8133 
am,dzoraghbyur, 40.2050 , 44.6431 
am,dzoragyukh, 40.1753 , 45.1750 
am,fantan, 40.3942 , 44.6850 
am,fioletovo, 40.7247 , 44.7139 
am,gagarin, 40.5369 , 44.8578 
am,gandzak, 40.3147 , 45.1114 
am,garni, 40.1194 , 44.7231 
am,gavar, 40.3589 , 45.1267 
am,gay, 40.0839 , 44.3056 
am,geghamasar, 40.3117 , 45.6800 
am,geghamavan, 40.5619 , 44.8828 
am,geghanist, 40.1497 , 44.4344 
am,getahovit, 40.8958 , 45.1314 
am,getashen, 40.0433 , 43.9447 
am,getazat, 40.0381 , 44.5639 
am,ghukasavan, 40.1261 , 44.4178 
am,gladzor, 39.7783 , 45.3478 
am,gogaran, 40.8956 , 44.1992 
am,goris, 39.5078 , 46.3386 
am,gosh, 40.7225 , 45.0033 
am,griboyedov, 40.1131 , 44.2717 
am,gyulagarak, 40.9697 , 44.4714 
am,gyumri, 40.7894 , 43.8475 
am,haghartsin, 40.7781 , 44.9625 
am,hayanist, 40.1197 , 44.3775 
am,haykashen, 40.0728 , 44.3069 
am,haykavan, 40.7558 , 43.7700 
am,hnaberd, 40.6428 , 44.1444 
am,hoktember, 40.1361 , 44.0139 
am,horom, 40.6542 , 43.8822 
am,hovtashat, 40.1019 , 44.3428 
am,hovtashen, 40.0244 , 44.4500 
am,hrazdan, 40.5017 , 44.7547 
am,ijevan, 40.8756 , 45.1492 
am,janfida, 40.0456 , 44.0208 
am,jermuk, 39.8417 , 45.6722 
am,jrahovit, 40.0453 , 44.4736 
am,jrashen, 40.7875 , 44.1972 
am,jrashen, 40.0547 , 44.5133 
am,kamaris, 40.2358 , 44.6939 
am,kamo, 40.8281 , 43.9483 
am,kanakeravan, 40.2472 , 44.5367 
am,kapan, 39.2011 , 46.4150 
am,kaputan, 40.3244 , 44.6939 
am,karbi, 40.3339 , 44.3778 
am,karchaghbyur, 40.1639 , 45.5722 
am,kasakh, 40.5333 , 44.4167 
am,khashtarak, 40.9386 , 45.1797 
am,khndzoresk, 39.5122 , 46.4336 
am,kosh, 40.3072 , 44.1600 
am,lanjaghbyur, 40.2731 , 45.1444 
am,lchashen, 40.5203 , 44.9308 
am,lenughi, 40.1239 , 43.9653 
am,lernakert, 40.5669 , 43.9361 
am,lernanist, 40.4675 , 44.7981 
am,lernantsk, 40.7956 , 44.2783 
